Streaming output truncated to the last 5000 lines.
2026-05-10 02:47:21,434 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180210.taz rows=596
2026-05-10 02:47:21,611 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=545 total_rows=545
2026-05-10 02:47:21,612 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180211.taz rows=545
2026-05-10 02:47:21,977 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=1136 total_rows=1136
2026-05-10 02:47:21,979 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180212.taz rows=1136
2026-05-10 02:47:22,156 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=535 total_rows=535
2026-05-10 02:47:22,157 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180213.taz rows=535
2026-05-10 02:47:22,505 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=1100 total_rows=1100
2026-05-10 02:47:22,507 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180214.taz rows=1100
2026-05-10 02:47:22,655 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=468 total_rows=468
2026-05-10 02:47:22,656 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180215.taz rows=468
2026-05-10 02:47:22,751 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=282 total_rows=282
2026-05-10 02:47:22,752 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180216.taz rows=282
